transaction_id,transaction_date,direction,amount,currency,counterparty_name,counterparty_account,reference,payment_method,bank_account,description
BNK-00002045,2026-01-01,DEBIT,2240.87,USD,Card Settlement,909804524732,MISC-002045,CARD,PAYABLES-001,Payroll related
BNK-00001935,2026-01-02,DEBIT,71.55,USD,Employee Reimbursements,311514118569,MISC-001935,ACH,OPERATING-002,Insurance payment
BNK-00002007,2026-01-04,DEBIT,3402.69,USD,National Telecom,910013848069,MISC-002007,ACH,OPERATING-001,Payroll related
BNK-00001945,2026-01-05,DEBIT,126109.62,LKR,Government Tax Authority,609841966972,MISC-001945,ACH,OPERATING-002,Payroll related
BNK-00001983,2026-01-06,DEBIT,6502.84,USD,Office Rent Holdings,974036937938,MISC-001983,ACH,OPERATING-002,Rent payment
BNK-00002032,2026-01-06,DEBIT,107874.23,LKR,National Telecom,167584138764,MISC-002032,WIRE,OPERATING-002,Tax payment
BNK-00002069,2026-01-08,DEBIT,5545.44,EUR,Card Settlement,981625684708,MISC-002069,BANK_TRANSFER,OPERATING-001,Utility payment
BNK-00001965,2026-01-10,DEBIT,546300.12,LKR,Employee Reimbursements,111229988088,MISC-001965,CARD,OPERATING-001,Rent payment
BNK-00002088,2026-01-12,DEBIT,369035.92,LKR,City Power Utility,150513626574,MISC-002088,BANK_TRANSFER,OPERATING-001,Rent payment
BNK-00002096,2026-01-12,DEBIT,6602.1,USD,Government Tax Authority,852948138121,MISC-002096,WIRE,OPERATING-002,Utility payment
BNK-00001959,2026-01-15,DEBIT,4722.88,USD,National Telecom,842283568264,MISC-001959,DIRECT_DEBIT,OPERATING-001,Operating expense
BNK-00001961,2026-01-17,DEBIT,437285.33,LKR,City Power Utility,934347774770,MISC-001961,WIRE,OPERATING-002,Payroll related
BNK-00001980,2026-01-17,DEBIT,6688.19,EUR,Card Settlement,469416913800,MISC-001980,DIRECT_DEBIT,OPERATING-001,Insurance payment
BNK-00000260,2026-01-19,DEBIT,22946.69,GBP,Vertex Packaging Limited,878442396279,INV-2026-000279,CHEQUE,PAYABLES-001,Vendor payment INV-2026-000279
BNK-00000529,2026-01-19,DEBIT,13758.33,USD,Nova Systems Corporation,367862118541,INV-2026-000557,BANK_TRANSFER,OPERATING-002,Vendor payment INV-2026-000557
BNK-00000864,2026-01-19,DEBIT,4105.38,GBP,SILVERLINE SERVICES LIMITED,786420412894,INV-2026-000909,CHEQUE,OPERATING-001,Vendor payment INV-2026-000909
BNK-00002053,2026-01-20,DEBIT,1705.85,EUR,Office Rent Holdings,426489972551,MISC-002053,CARD,OPERATING-001,Tax payment
BNK-00002093,2026-01-20,DEBIT,7550.59,EUR,Office Rent Holdings,759538915792,MISC-002093,BANK_TRANSFER,PAYABLES-001,Utility payment
